ID,Text_Number,Name,Description,Contributor,Citation,Examples_Count,Media_Reference
01_Bahi_Yowao,1,Bahi ,"A história Bahi foi contada por Yowao em 1991. O arquivo de áudio correspon- dente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/yowao- bahi1.mp3. Este texto pretende explicar a iniciação das moças quando começam a mens- truar, que ainda hoje é comemorada. Possui os seguintes componentes: quando a moça menstrua pela primeira vez, ela entra em uma cabana de reclusão, que é totalmente escura por dentro. Ela fica lá sozinha por alguns meses, e durante esse período só sai da cabana para tomar banho com as parentes, e para ir à roça com elas. Quando sai, ela usa uma cobertura na cabeça para que nenhum homem ou menino veja o seu rosto, e para que ela não os veja. Dizem que se ela os vir, eles vão adoecer. Na saída dela da reclusão, há vários dias de festa, com o clímax ocor- rendo quando a trazem para fora e a deitam de bruços em cima de duas toras. Os homens batem nas costas descobertas dela e nas pernas com varinhas. Após ser levada, ela fica sarando durante alguns dias, comendo quase nada. As mulheres correm atrás dos homens com tições e os queimam na barriga, para dar o troco por terem machucado a moça. Os homens não conseguem escapar porque estão bêbados, e eles realmente sofrem queimaduras. O personagem principal do texto é Bahi, uma palavra que significa ‘sol/tro- vão’. De fato, há uma ligação entre o personagem Bahi e o sol: Bahi menstrua, e dizem que a cor vermelha do sangue está ligada à cor do sol quando nasce. Há várias ligações entre os eventos da história e aspectos da iniciação das moças. Curiosamente, Bahi é homem. Ele ensina às moças como elas vão ser.",Yowao,"Yowao. 2026. Bahi . Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",72,mp301_Bahi_Yowao
02_Bahi_Siko,2,Bahi ,"A história Bahi foi contada por Siko em 1991. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/siko-bahi2.mp3. Este texto é constituído por uma série de episódios de uma história mais longa sobre Bahi. No começo e no fim do texto, partes que não estão incluídas aqui, Bahi demonstra seus poderes extraordinários, transformando as pessoas em vá- rios tipos de animais, e chegando a um lugar com uma luz brilhante. Nos epi- sódios incluídos aqui, ao contrário, Bahi parece uma pessoa normal: ele caça macaco-barrigudo e anta, e casa-se.",Siko,"Siko. 2026. Bahi . Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",326,mp302_Bahi_Siko
03_The_First_Corn,3,O primeiro milho,"A história O primeiro milho foi contada por Siko em 1992. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/ siko-firstcorn.mp3. De acordo com esta história, o homem que introduziu os primeiros cultiva- res que os jarawaras plantam e suas roças, especialmente o milho, tornou-se o primeiro paumari quando subsequentemente foi embora. Os paumaris são vizi- nhos próximos dos jarawaras no rio Purus, e falam uma língua da mesma família linguística, Arawá, porém de relação não próxima dentro da família. Uma das personagens da história é uma avó que se transformou na primeira cobra. A ori- gem dos costumes de fazer furos corporais e de chibatear com varinha está ligada à origem da horticultura na história.",Siko,"Siko. 2026. O primeiro milho. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",139,mp303_The_First_Corn
04_The_Old_Man_Who_Went_Up_in_the_Sky,4,O velho que subiu no céu,"A história O velho que subiu no céu foi contada por Yowao em 1992. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/ brazil/files/yowao-oldmansky.mp3. Muitas das histórias de Yowao são sobre os espíritos, assim como esta histó- ria. Os espíritos frequentemente se transformam em animais; nesta história, eles são urubus-reis. Os espíritos individuais com que os jarawaras se comunicavam tinham nomes pessoais, e nesta história o nome de um espírito feminino jovem é mencionado.",Yowao,"Yowao. 2026. O velho que subiu no céu. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",120,mp304_The_Old_Man_Who_Went_Up_in_the_Sky
05_The_Hungry_Old_Man,5,O velho faminto,"A história O velho faminto foi contada por Siko em 1992. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/ siko-hungryman.mp3. Um velho foi deixado sozinho cuidando dos três netos, e ele estava com tanta fome que matou os dois netos mais novos e assou eles e comeu. O neto mais ve- lho correu para os pais e lhes contou o que tinha acontecido. Quando chegaram em casa, a filha do velho reclamou, mas o marido dela não falou nada. O filho do velho, que saíra para caçar, também voltou para casa. Quando ele também recla- mou, o velho quis pegar a lança, mas o filho a quebrou em pedaços. Finalmente o genro do velho ofereceu-lhe um pedaço de carne em que ele tinha feito pajelança, e o velho morreu depois de comê-lo.",Siko,"Siko. 2026. O velho faminto. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",147,mp305_The_Hungry_Old_Man
06-The_Man_Who_Got_Away_from_the_Kose_Mati,6,O homem que escapou do Kose Mati,"A história O homem que escapou do Kose Mati foi contada por Siko em 1992. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/ sites/brazil/files/siko-mankose.mp3. Siko contava muitas histórias cômicas, e esta é uma delas. Os jarawaras têm medo de bichos feios que moram no mato, mas nas histórias de Siko, os bichos, que geralmente não são muito espertos, quase sempre perdem. A história tam- bém fornece informações sobre a pajelança entre os jarawaras. O personagem principal da história é pajé, e com os seus poderes xamânicos ele consegue im- pedir o bicho de matá-lo afogado. E quando ele grita por socorro, dois espíritos auxiliares dele respondem e o livram do bicho. Eles matam o bicho, o levam em- bora e o comem.",Siko,"Siko. 2026. TO homem que escapou do Kose Mati. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",170,mp306-The_Man_Who_Got_Away_from_the_Kose_Mati
07_The_Alligators_Killed_the_Man,7,Os jacarés mataram o homem,"A história Os jacarés mataram o homem foi contada por Siko em 1992. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/ brazil/files/siko-mankose.mp3. Nesta tragédia, um casal novo planeja sair para caçar. A mulher espera en- quanto o marido coloca veneno nas pontas das flechas e das flechinhas de zara- batana. Mas ela se cansa de esperar, e sai sozinha para pescar. Quando ela volta com os peixes que pegou, o marido tinha pegado um pouco da tapioca que ela tinha preparado e tinha comido, e ela fica com raiva. Com raiva, ela o insulta, e ele se recolhe à rede, fazendo birra e recusando-se a comer. No outro dia de ma- nhã cedo ele sai sozinho para caçar uma tartaruga. Os outros homens da aldeia vão atrás dele, e caçam juntos. Depois de matar alguns macacos, ele vai atrás de uma tartaruga. Mas a tartaruga é muito grande, e o arrasta da praia para dentro d’água, onde ele é morto e comido pelos jacarés. O cunhado do homem, que é o irmão mais velho da esposa dele, quer matar sua irmã quando chega de volta na aldeia, mas os outros o seguram.",Siko,"Siko. 2026. Os jacarés mataram o homem. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",201,mp307_The_Alligators_Killed_the_Man
08_Siraba,8,Siraba,"A história Siraba foi contada por Yowao em 1992. O arquivo de áudio correspon- dente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/yowao- siraba.mp3. Siraba era uma adolescente que foi com a prima cruzada para colher frutas de uxi no mato. Lá elas encontraram um espírito que se apresentou como o irmão da prima de Siraba, que deveria se casar com Siraba. Siraba percebeu que era um espírito, e as duas moças conseguiram correr e fugir. Mas o espírito as encontrou mais tarde de novo na aldeia. Dessa vez ele conseguiu enganar Siraba, levando-a e passando a noite com ela. Quando ela voltou para casa de manhã cedo, ela logo morreu. A última parte do texto conta resumidamente como os jarawaras original- mente faziam parte de um grupo maior que veio do rio acima. Eles estavam atravessando o rio Purus em grupos pequenos numa canoa, quando o homem que estava remando se cansou e parou, deixando o grupo dividido nos dois lados do rio. O grupo que tinha atravessado resolveu seguir viagem, e se tornaram os jarawaras de hoje. O grupo que ficou no outro lado do rio voltou para o lugar de onde tinha vindo. O filho de Yowao, Okomobi, faz perguntas em vários pontos do texto, e isso é mostrado na tradução em português.",Yowao,"Yowao. 2026. Siraba. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",152,mp308_Siraba
09_The_Jaguars_Ate_the_Girls,9,As onças comeram as moças,"A história As onças comeram as moças foi contada por Siko em 1992. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/ brazil/files/siko-jaggirls.mp3. Os jarawaras contam muitas histórias sobre encontros com onças no mato. Geralmente elas acabam em fatalidades, mas às vezes os personagens escapam das onças. Nesta história, sobre um grupo de moças, uma moça escapa, mas as amigas dela são mortas, porque não prestaram atenção ao seu aviso.",Siko,"Siko. 2026. As onças comeram as moças. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",190,mp309_The_Jaguars_Ate_the_Girls
10_The_Toto_Spirit,10,O espírito de toto,"A história O espírito de toto foi contada por Siko em 1991. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/ siko-totoabono.mp3. O espírito da taboca toto não sabia pescar nem caçar, então se casou com a filha de sua tia, a prima cruzada, para poder matá-la e comê-la. Quando ficou com fome de novo, ele foi até a tia e pediu outra filha, e fez a mesma coisa de novo com ela. Finalmente, ele trouxe as outras duas irmãs delas para a aldeia dele, mas elas perceberam o que ele estava fazendo quando viram as caveiras das irmãs, e elas fugiram e correram de volta para casa. Aí, já que o espírito de toto não tinha mais carne, ele cortou fora um pedaço da própria barriga, e assou e comeu. Naturalmente, isso resultou na morte dele. O cunhado dele criticou-o porque tinha se casado com as irmãs dele para comê-las em vez de ter filhos com elas.",Siko,"Siko. 2026. O espírito de toto. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",234,mp310_The_Toto_Spirit
11_Casting_Spells_on_Each_Other,11,Rezas mútuas,"A história Rezas mútuas foi contada por Yowao em 1994. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/ yowao-castspell.mp3. Aspectos da pajelança são ilustrados nesta história. Dois cunhados fazem rezas um contra o outro, resultando na morte de um deles. O que sobrevive é curado pela habilidade de pajé do irmão mais novo dele.",Yowao,"Yowao. 2026. Rezas mútuas. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",139,mp311_Casting_Spells_on_Each_Other
12_Maiko,12,Maiko,"A história Maiko foi contada por Yowao em 1992. O arquivo de áudio correspon- dente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/yowao- maiko2.mp3. Maiko foi um pajé poderoso, que conseguia matar bichos maka. O bicho maka estava ocupando o canto em que Maiko costumava pescar, então Maiko se trans- formou em uma ariramba e furou o bicho com o bico. Maiko pegou uns peixes, e voltou para casa. Os dois sobrinhos de Maiko saíram para pescar, e quando voltaram, ofereceram uma quantidade grande de peixes cozidos para Maiko. Pensaram que poderiam fazer Maiko passar vergonha, oferecendo a ele mais do que ele podia comer, mas ele comeu tudo. Aí ele revidou cozinhando duas panelas de taioba nakarifa para eles comerem, e eles não conseguiram comer tudo. Maiko foi pescar de novo, desta vez junto com a esposa. Enquanto ele estava pescando, ela foi ao mato defecar, e lá ela viu um veado morto. Ela contou para ele, e ele depois de investigar chegou à conclusão de que o veado tinha sido morto por um bicho maka. Resolveram levar o veado para casa para comer, mas o bicho segurou o veado, tentando impedir Maiko de levar a caça dele. Mas conseguiram chegar em casa com o veado, junto com os peixes que Maiko tinha pescado. Maiko cozinhou uma parte do veado e moqueou outra parte, mas só comeram os peixes. O bicho veio para a aldeia atrás da caça dele, junto com a fêmea dele. Maiko deu a carne do veado para eles. Quando eles se recusaram a ir embora, Maiko chamou os espíritos auxiliares dele para que o ajudassem. Mas o bicho era mais forte do que eles. Então ele pegou uma brasa do fogo, e colocou um arabani, e jogou nos bichos. Isso matou o bicho fêmea, e o par dela foi embora levando ela.",Yowao,"Yowao. 2026. Maiko. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",260,mp312_Maiko
13_The_Yimas,13,Os yimas,"A história Os yimas foi contada por Yowao em 1993. O arquivo de áudio cor- respondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/ yowaotheyimas.mp3. Nas histórias dos jarawaras, os inimigos mais tradicionais deles eram os yimas. A tradição diz que eles eram vizinhos próximos dos jarawaras. Hoje em dia os jarawaras identificam os yimas com os jumas, um grupo de língua Tupi-Guarani que habitava uma região entre Lábrea e Humaitá. Essa identificação não parece muito razoável para mim, sendo que os jarawaras nunca moraram no outro lado do rio Purus. Além disso, nas histórias os jarawaras e os yimas conversam entre si, indicando que provavelmente falavam línguas aparentadas. Este texto narra dois encontros com os yimas. O primeiro envolve Saba e os companheiros dele, que atacam uma aldeia dos yimas. No segundo episódio, um homem deixa os pais sós na aldeia quando os outros moradores vão para outra aldeia para participar de uma festa. O casal deveria vir atrás dos outros para a festa, mas são capturados por yimas e levados para a aldeia dos yimas. O filho descobre o que aconteceu, e vai com os companheiros para a aldeia dos yimas para resgatar os parentes. Eles conseguem livrá-los, e matam muitos yimas no ataque.",Yowao,"Yowao. 2026. Os yimas. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",163,mp313_The_Yimas
14_Mayawari,14,Mayawari,"A história Mayawari foi contada por Siko em 1992. O arquivo de áudio corres- pondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/siko- mayawari2.mp3. O jarawara Mayawari saiu junto com o filho pequeno para passar a noite no mato esperando os macacos que vinham comer frutas de um pé de ko. No cami- nho um grupo de inimigos yimas emboscou e matou os dois com lanças. Pen- duraram as tripas do menino em cima de paus fincados no chão, para os outros jarawaras verem. Quando Mayawari e o filho não voltaram, o genro dele saiu atrás deles. Quando ele gritou no mato um yima respondeu, e ele voltou correndo para casa. Depois disso, dois homens saíram atrás dos yimas, mas eles já tinham ido embora.",Siko,"Siko. 2026. Mayawari. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",68,mp314_Mayawari
15_Kamabira,15,Kamabira,"A história Kamabira foi contada por Yowao em 1992. O arquivo de áudio cor- respondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/ yowao-kamabira.mp3. Os eventos desta história aconteceram durante o tempo de vida do avô de Yowao (que era também avô de Siko), provavelmente antes do pai de Yowao nas- cer. O jarawara Kamabira adoeceu depois que comeu carne de macaco-barrigudo que ainda continha sangue, e começou a apresentar um comportamento esqui- sito. Depois de pouco tempo, morreu. Os companheiros chegaram à conclusão de que ele tinha sido morto por um bicho maka, que tinha aparecido em forma de macaco-barrigudo. Siko também contava uma versão desta história. Os detalhes eram semelhan- tes, exceto que na versão dele, Kamabira foi atacado quando matou uns guaribas com sua zarabatana. Os jarawaras consideram que os guaribas não são muito bons para comer. Foi concluído que os guaribas na realidade eram bichos maka.",Yowao,"Yowao. 2026. Kamabira. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",73,mp315_Kamabira
16_The_Poison_Root_Song,16,A música do tingui,"A história A música do tingui foi contada por Siko em 1987. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/ sikopoisonroot.mp3. A história retrata uma festa que aconteceu no tempo da infância do pai de Siko. É sobre um jarawara chamado Aifa, que compôs músicas que eram cantadas nas festas que faziam quando pescavam nos igarapés com tingui. Os jarawaras ainda hoje empregam esse modo de pesca, porém sem fazer festa. No verão, quando o nível dos igarapés é baixo, colocam raízes trituradas de tingui na água para drogar os peixes e, assim, ficar mais fácil de flechá-los. O tingui é uma planta cultivada, e os jarawaras a acham nas capoeiras velhas de aldeias antigas abandonadas.",Siko,"Siko. 2026. A música do tingui. Em Alan Vogel (ed.), The Stories of Siko and Yowao: Jarawara texts  (Open Text Collections 11). Berlin: Language Science Press.",117,mp316_The_Poison_Root_Song
17_My_Father_Fought_a_Cougar,17,Meu pai brigou com a onça-vermelha,"A história Meu pai brigou com a onça-vermelha foi contada por Siko em 1991. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/ sites/brazil/files/sikocougar.mp3. O pai de Siko, Botehefo, foi atacado um dia no mato por uma onça-vermelha. Quando isso aconteceu Botehefo era adulto, mas o tempo não testemunhado que Siko usa no texto indica que isso aconteceu antes de Siko nascer. Embora seja verdade que a onça-vermelha tem força suficiente para matar um homem, ela não é tão perigosa quanto a onça-pintada. O pai de Siko lutou com a onça e conseguiu fazê-la fugir. O fato de que o pai de Siko estava com um rifle é uma indicação do estágio do contato dos jarawaras com os brancos. Hoje em dia eles usam espingardas.",Siko,"Siko. 2026. Meu pai brigou com a onça-vermelha. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",53,mp317_My_Father_Fought_a_Cougar
18_My_Father_and_His_Familiar_Spirit,18,Meu pai e seu espírito auxiliar,"A história Meu pai e seu espírito auxiliar foi contada por Yowao em 1994. O ar- quivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/ sites/brazil/files/yowao-fatherspirit.mp3. O pai de Yowao contou para ele sobre um encontro violento que ele, junto com seu espírito auxiliar, teve com outro espírito que queria matá-los. O espírito au- xiliar dele venceu, e o pai de Yowao disse que sentiu pena vendo o outro espírito morrer. Deixei de incluir a transcrição dos últimos minutos da gravação, em que Yowao conversa sobre vários outros assuntos depois de terminar de contar a história.",Yowao,"Yowao. 2026. Meu pai e seu espírito auxiliar. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",69,mp318_My_Father_and_His_Familiar_Spirit
19_A_Pair_of_Monsters,19,Dois bichos,"A história Dois bichos foi contada por Yowao em 1994. O arquivo de áudio cor- respondente pode ser baixado em: https://www.silbrazil.org/sites/brazil/files/ yowaopairmonsters.mp3. Na realidade, o texto inclui duas histórias, sendo que a principal é sobre um casal de bichos. O pai de Yowao encontrou os bichos no mato, e matou primeiro a fêmea, e depois o macho, com o rifle. Yowao indica que isso aconteceu quando ele era menino. Ele, junto com os colegas, queria ir olhar os bichos, mas os outros não os deixaram. A segunda história, que é mais curta, é sobre um espírito que o pai de Yowao encontrou, que estava chorando, aparentemente porque estava com frio. Outros espíritos vieram e mataram-no, e o levaram para comê-lo, enquanto o pai de Yowao olhava. Sem dúvida os outros espíritos eram espíritos auxiliares do pai de Yowao, que tinham vindo para livrá-lo do espírito que chorava.",Yowao,"Yowao. 2026. Dois bichos. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",132,mp319_A_Pair_of_Monsters
20_White_lipped_Peccaries_and_a_Jaguar,20,As queixadas e a onça,"A história As queixadas e a onça foi contada por Yowao em 1994. O arquivo de áudio correspondente pode ser baixado em: https://www.silbrazil.org/sites/ brazil/files/yowao-peccaryjaguar.mp3. Esta é a única história deste volume em que o autor foi um dos principais par- ticipantes dos eventos. Algumas pessoas da aldeia viram sinais de um bando de queixadas quando estavam no mato, e quando voltaram para casa, relataram isso e no outro dia Yowao saiu atrás das queixadas. As queixadas andam pelo mato em bandos numerosos, e são perigosas. Yowao achou o bando de queixadas, e matou algumas. Ele trouxe uma para casa, e no outro dia saiu com companhei- ros para trazerem as outras queixadas que ele tinha matado. Eles encontraram o bando de novo, e agora havia uma onça atrás das queixadas, fazendo com que elas ficassem ainda mais agitadas e barulhentas.",Yowao,"Yowao. 2026. As queixadas e a onça. Em Alan Vogel (ed.), Histórias de Siko e de Yowao: Textos jarawaras  (Open Text Collections 11). Berlin: Language Science Press.",65,mp320_White_lipped_Peccaries_and_a_Jaguar
